p2p_domain,vid,pid,gid,login_time_year,login_time_month,login_time_day,login_time_hour,login_time_minute,login_time_sec
t8,D004,0036,0036,2020,08,01,11,13,51
t8,D004,0084,0084,2020,08,01,11,13,51
t8,D004,0085,0085,2020,08,01,11,13,51
t8,D004,0086,0086,2020,08,01,11,13,51
t8,D004,0095,0095,2020,08,01,11,13,51
t8,D004,0096,0096,2020,08,01,11,13,51
t8,D004,0097,0097,2020,08,01,11,13,51
u6,C029,F301,F106,2020,08,01,10,43,20
u6,D004,0054,0054,2020,08,01,10,43,20
u6,D004,0055,0055,2020,08,01,10,43,20
u6,D004,0058,0058,2020,08,01,10,43,20
u6,D004,0059,0059,2020,08,01,10,43,20
u6,D004,0064,0064,2020,08,01,10,43,20
u6,D004,0065,0065,2020,08,01,10,43,20
u6,D004,0066,0066,2020,08,01,10,43,20
u6,D004,0067,0067,2020,08,01,10,43,20
i1,4643,F300,F100,2020,08,01,10,51,53
i1,A157,0001,0001,2020,08,01,10,51,53
i1,A157,0001,0002,2020,08,01,10,51,53
i1,B021,0001,0001,2020,08,01,10,51,53
i1,B021,0003,003B,2020,08,01,10,51,53
i1,B021,1001,1001,2020,08,01,10,51,53
i1,B021,1001,1002,2020,08,01,10,51,53
30,D004,0010,0010,2020,08,01,08,51,17
30,D004,0012,0012,2020,08,01,08,51,17
30,D004,0018,0018,2020,08,01,08,51,17
30,D004,0032,0032,2020,08,01,08,51,17
30,D004,0049,0049,2020,08,01,08,51,17
30,D004,0083,0083,2020,08,01,08,51,17
30,D004,0087,0087,2020,08,01,08,51,17
30,D004,0088,0088,2020,08,01,08,51,17
30,D004,0095,0095,2020,08,01,08,51,17
30,D004,8888,8888,2020,08,01,08,51,17
g2,D004,0002,0002,2020,08,01,11,25,04
g2,D004,0003,0003,2020,08,01,11,25,04
g2,D004,0004,0004,2020,08,01,11,25,04
g2,D004,0005,0005,2020,08,01,11,25,04
g2,D004,0007,0007,2020,08,01,11,25,04
u5,C029,F301,F105,2020,08,01,11,56,31
u5,D004,0053,0053,2020,08,01,11,56,31
u5,D004,0056,0056,2020,08,01,11,56,31
u5,D004,0057,0057,2020,08,01,11,56,31
u5,D004,0060,0060,2020,08,01,11,56,31
u5,D004,0061,0061,2020,08,01,11,56,31
u5,D004,0062,0062,2020,08,01,11,56,31
d2,0002,0001,0001,2020,08,01,11,26,48
d2,0002,0004,0000,2020,08,01,11,26,48
d2,0002,0005,0000,2020,08,01,11,26,48
d2,0002,0111,0001,2020,08,01,11,26,48
d2,0002,0111,0002,2020,08,01,11,26,48
d2,0002,0111,0003,2020,08,01,11,26,48
d2,0002,0111,0004,2020,08,01,11,26,48
d2,0002,0111,0005,2020,08,01,11,26,48
d2,0009,0001,0001,2020,08,01,11,26,48
d2,0009,0002,0002,2020,08,01,11,26,48
d2,0009,0003,0003,2020,08,01,11,26,48
d2,0009,0004,0004,2020,08,01,11,26,48
d2,0009,0005,0005,2020,08,01,11,26,48
d2,0009,0006,0006,2020,08,01,11,26,48
d2,0009,0007,0007,2020,08,01,11,26,48
d2,0009,0008,0008,2020,08,01,11,26,48
d2,0009,0009,0009,2020,08,01,11,26,48
d2,0009,0012,0012,2020,08,01,11,26,48
d2,0009,0013,0013,2020,08,01,11,26,48
d2,0009,0017,0017,2020,08,01,11,26,48
d2,3690,F300,F100,2020,08,01,11,26,47
d2,3690,F300,F101,2020,08,01,11,26,47
d2,3690,F300,F102,2020,08,01,11,26,47
d2,3690,F300,F103,2020,08,01,11,26,48
d2,3690,F300,F104,2020,08,01,11,26,48
d2,8301,A100,F100,2020,08,01,11,26,47
d2,8301,A100,F101,2020,08,01,11,26,47
d2,8301,A100,F102,2020,08,01,11,26,47
d2,8301,A100,F103,2020,08,01,11,26,48
d2,A138,0001,0001,2020,08,01,11,26,47
d2,A138,0001,0002,2020,08,01,11,26,47
d2,A157,0001,0001,2020,08,01,11,26,47
d2,A157,0001,0002,2020,08,01,11,26,47
d2,AA39,AA39,AA39,2020,08,01,11,26,47
d2,AA46,0001,0001,2020,08,01,11,26,47
d2,AA46,0002,0002,2020,08,01,11,26,47
d2,AA46,0003,0003,2020,08,01,11,26,47
d2,AA46,1010,1010,2020,08,01,11,26,47
d2,AA46,1011,1011,2020,08,01,11,26,47
d2,AA46,1012,1012,2020,08,01,11,26,47
d2,AA46,1013,1013,2020,08,01,11,26,47
d2,AA46,1014,1014,2020,08,01,11,26,47
d2,AA46,1015,1015,2020,08,01,11,26,47
d2,AA46,1016,1016,2020,08,01,11,26,47
d2,AA46,1017,1017,2020,08,01,11,26,47
d2,D004,0002,0002,2020,08,01,11,26,47
d2,D004,0003,0003,2020,08,01,11,26,47
d2,D004,0004,0004,2020,08,01,11,26,47
d2,D004,0005,0005,2020,08,01,11,26,47
d2,D004,0007,0007,2020,08,01,11,26,48
d2,D004,0013,0013,2020,08,01,11,26,47
d2,D004,0029,0029,2020,08,01,11,26,47
d2,D004,0030,0030,2020,08,01,11,26,47
d2,D004,0107,0107,2020,08,01,11,26,48
d2,D004,0108,0108,2020,08,01,11,26,48
d2,D004,0109,0109,2020,08,01,11,26,48
d2,D004,0118,0118,2020,08,01,11,26,48
i9,A224,0001,0002,2020,08,01,10,11,41
i9,A224,0001,0004,2020,08,01,10,11,41
j0,8729,1000,FF00,2020,08,01,11,37,40
j0,8729,1001,FF00,2020,08,01,11,37,40
j0,8729,A000,FF00,2020,08,01,11,37,40
j0,8729,E000,0143,2020,08,01,11,37,40
j0,8729,E000,0144,2020,08,01,11,37,40
j0,8729,E000,1000,2020,08,01,11,37,40
j0,8729,E000,1001,2020,08,01,11,37,40
j0,8729,E000,1002,2020,08,01,11,37,40
j0,8729,E000,1006,2020,08,01,11,37,40
j0,8729,E000,1008,2020,08,01,11,37,40
j0,8729,E000,F100,2020,08,01,11,37,40
j0,8729,E000,F101,2020,08,01,11,37,40
j0,8729,E000,F102,2020,08,01,11,37,40
j0,8729,E000,F103,2020,08,01,11,37,41
j0,8729,E000,F104,2020,08,01,11,37,41
j0,8729,E000,F105,2020,08,01,11,37,41
j0,8729,E000,F106,2020,08,01,11,37,41
j0,8729,E000,F107,2020,08,01,11,37,41
j0,8729,E000,F108,2020,08,01,11,37,41
j0,8729,E000,F109,2020,08,01,11,37,41
j0,8729,E000,F110,2020,08,01,11,37,41
j0,8729,E000,F111,2020,08,01,11,37,41
j0,8729,E000,F112,2020,08,01,11,37,41
j0,8729,E000,F113,2020,08,01,11,37,41
j0,8729,E000,F114,2020,08,01,11,37,41
j0,8729,E000,F115,2020,08,01,11,37,41
j0,8729,E000,F116,2020,08,01,11,37,41
j0,8729,E000,F117,2020,08,01,11,37,41
j0,8729,E000,F118,2020,08,01,11,37,41
j0,8729,E000,F119,2020,08,01,11,37,41
j0,8729,E000,F120,2020,08,01,11,37,41
j0,8729,E000,F121,2020,08,01,11,37,41
j0,8729,E000,F122,2020,08,01,11,37,41
j0,8729,E000,F123,2020,08,01,11,37,41
j0,8729,E000,F124,2020,08,01,11,37,41
j0,8729,E000,F125,2020,08,01,11,37,41
j0,8729,E000,F126,2020,08,01,11,37,41
j0,8729,E000,F127,2020,08,01,11,37,41
j0,8729,E000,F128,2020,08,01,11,37,41
j0,8729,E000,F129,2020,08,01,11,37,41
j0,8729,E000,F130,2020,08,01,11,37,41
j0,8729,E000,F131,2020,08,01,11,37,41
j0,8729,E000,F132,2020,08,01,11,37,41
j0,8729,E000,F134,2020,08,01,11,37,41
j0,8729,E000,F135,2020,08,01,11,37,41
j0,8729,E000,F136,2020,08,01,11,37,41
j0,8729,E000,F137,2020,08,01,11,37,41
j0,8729,E000,F138,2020,08,01,11,37,41
j0,8729,E000,F139,2020,08,01,11,37,41
j0,8729,E000,F140,2020,08,01,11,37,41
j0,8729,E000,F141,2020,08,01,11,37,41
j0,8729,E000,F142,2020,08,01,11,37,41
j0,8729,E000,F145,2020,08,01,11,37,41
j0,8729,E000,F146,2020,08,01,11,37,41
j0,8729,E000,F149,2020,08,01,11,37,41
j0,8729,E000,F150,2020,08,01,11,37,41
j0,8729,E000,F151,2020,08,01,11,37,41
j0,8729,E000,F152,2020,08,01,11,37,41
j0,8729,E000,F153,2020,08,01,11,37,41
j0,8729,E000,F154,2020,08,01,11,37,41
j0,8729,E000,F155,2020,08,01,11,37,41
j0,8729,E000,F156,2020,08,01,11,37,41
j0,8729,E000,F157,2020,08,01,11,37,41
j0,8729,E000,F158,2020,08,01,11,37,41
j0,8729,E000,F159,2020,08,01,11,37,41
j0,8729,E000,F160,2020,08,01,11,37,41
j0,8729,E000,F161,2020,08,01,11,37,41
j0,8729,E000,F163,2020,08,01,11,37,41
j0,8729,E000,F164,2020,08,01,11,37,41
j0,8729,E000,F165,2020,08,01,11,37,41
j0,8729,E000,F166,2020,08,01,11,37,41
j0,8729,E000,F167,2020,08,01,11,37,41
j0,8729,E000,F168,2020,08,01,11,37,41
j0,8729,E000,F169,2020,08,01,11,37,41
j0,8729,E000,F170,2020,08,01,11,37,42
j0,8729,E000,F171,2020,08,01,11,37,42
j0,8729,E000,F172,2020,08,01,11,37,42
j0,8729,E000,F173,2020,08,01,11,37,42
j0,8729,E000,F174,2020,08,01,11,37,42
j0,8729,E000,F200,2020,08,01,11,37,42
j0,8729,E000,F201,2020,08,01,11,37,42
j0,8729,E000,F202,2020,08,01,11,37,42
j0,8729,E000,F203,2020,08,01,11,37,42
j0,8729,E000,F204,2020,08,01,11,37,42
j0,8729,E000,F205,2020,08,01,11,37,42
j0,8729,E000,F206,2020,08,01,11,37,42
j0,8729,E000,F207,2020,08,01,11,37,42
j0,8729,E000,F208,2020,08,01,11,37,42
j0,8729,E000,F209,2020,08,01,11,37,42
j0,8729,E000,F210,2020,08,01,11,37,42
j0,8729,E000,F211,2020,08,01,11,37,42
j0,8729,E000,F212,2020,08,01,11,37,42
j0,8729,E000,F213,2020,08,01,11,37,42
j0,8729,E000,F214,2020,08,01,11,37,42
j0,8729,E000,F215,2020,08,01,11,37,42
j0,8729,E000,F216,2020,08,01,11,37,42
j0,8729,E000,F217,2020,08,01,11,37,42
j0,8729,E000,F218,2020,08,01,11,37,42
j0,8729,E000,F219,2020,08,01,11,37,42
j0,8729,E000,F220,2020,08,01,11,37,42
j0,8729,E000,F221,2020,08,01,11,37,42
j0,8729,E000,F222,2020,08,01,11,37,42
j0,8729,E000,F223,2020,08,01,11,37,42
j0,8729,E000,F224,2020,08,01,11,37,42
j0,8729,E000,F225,2020,08,01,11,37,42
j0,8729,E000,F226,2020,08,01,11,37,42
j0,8729,E000,F227,2020,08,01,11,37,42
j0,8729,E000,F228,2020,08,01,11,37,42
j0,8729,E000,F229,2020,08,01,11,37,42
j0,8729,E000,F230,2020,08,01,11,37,42
j0,8729,E000,F231,2020,08,01,11,37,42
j0,8729,E000,F232,2020,08,01,11,37,42
j0,8729,E000,F233,2020,08,01,11,37,42
j0,8729,E000,F234,2020,08,01,11,37,42
j0,8729,E000,F235,2020,08,01,11,37,42
j0,8729,E000,F236,2020,08,01,11,37,42
j0,8729,E000,F237,2020,08,01,11,37,42
j0,8729,E000,F238,2020,08,01,11,37,42
j0,8729,E000,F239,2020,08,01,11,37,42
j0,8729,E000,F240,2020,08,01,11,37,42
